Row ID,Customer ID,Customer Name,Segment,City,State,Postal Code
1,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420
2,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420
3,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,90036
4,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311
5,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311
6,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032
7,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032
8,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032
9,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032
10,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032
11,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032
12,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032
13,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,28027
14,IM-15070,Irene Maddox,Consumer,Seattle,Washington,98103
15,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106
16,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106
17,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,53711
18,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,84084
19,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109
20,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109
21,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109
22,KB-16585,Ken Black,Corporate,Fremont,Nebraska,68025
23,KB-16585,Ken Black,Corporate,Fremont,Nebraska,68025
24,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,19140
25,EB-13870,Emily Burns,Consumer,Orem,Utah,84057
26,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,90049
27,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,90049
28,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140
29,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140
30,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140
31,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140
32,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140
33,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140
34,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140
35,MA-17560,Matt Abelman,Home Office,Houston,Texas,77095
36,GH-14485,Gene Hale,Corporate,Richardson,Texas,75080
37,GH-14485,Gene Hale,Corporate,Richardson,Texas,75080
38,SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041
39,SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041
40,SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041
41,SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041
42,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,60540
43,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,90049
44,ES-14080,Erin Smith,Corporate,Melbourne,Florida,32935
45,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,55122
46,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,55122
47,PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,48185
48,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,19901
49,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,19901
50,DP-13000,Darren Powers,Consumer,New Albany,Indiana,47150
